account_id,customer_id,account_type,account_number,opening_date,balance
60,583,Credit Card,GB55ZTKZ40801695382320,2022-06-14,96667
61,796,Checking,GB90JFSJ79242727124198,2021-03-19,6667
62,74,Savings,GB95TIMT84546107541454,2023-09-30,99314
63,883,Savings,GB85NWYS61457502714163,2020-09-10,72819
64,22,Credit Card,GB81RFOD86281002735105,2023-05-21,35754
65,509,Credit Card,GB37COKX12485859744894,2024-09-07,38066
66,682,Savings,GB80IYXN96455038035749,2020-03-21,25039
67,428,Credit Card,GB43WELB13769945985686,2022-04-23,93184
68,366,Checking,GB15INNO59127745164783,2023-02-11,88208
69,596,Checking,GB26UKFW16560932646365,2022-10-03,91734
70,88,Checking,GB86YRPQ70771181552427,2021-02-02,44608
71,594,Credit Card,GB97TNHT93405220533167,2020-12-30,6364
72,438,Credit Card,GB44JODR04698113279032,2022-04-02,12438
73,999,Checking,GB73DLSN46165750071098,2020-08-11,84853
74,740,Checking,GB22WVXS38358577235871,2022-08-27,14153
75,21,Credit Card,GB71REOK03083283651192,2019-12-11,59059
76,852,Checking,GB05AMUQ39387771585585,2019-12-22,97427
77,763,Checking,GB21CSQL44447315124314,2020-07-03,89461
78,768,Credit Card,GB31VKDN95612375560288,2021-02-11,2741
79,565,Savings,GB37MVWG48707457239834,2023-11-09,81525
80,357,Savings,GB71KHSA58785687712259,2019-10-21,12938
81,734,Savings,GB97DDKM54984485101179,2022-10-31,71656
82,42,Savings,GB93ZJWW61913606201685,2020-02-01,73217
83,43,Credit Card,GB17QUHU04763174104362,2021-01-21,79251
84,435,Checking,GB66HJYW49067921096180,2022-01-19,6651
85,472,Savings,GB46URZD88799466178756,2023-06-06,44360
86,945,Credit Card,GB66UIEX60884974309927,2019-10-27,61361
87,802,Credit Card,GB41IGHM58681989939613,2023-05-10,50544
88,327,Checking,GB24TFXD28726570442469,2021-05-26,98377
89,630,Checking,GB44AMFG81338442038594,2024-02-02,53351
90,78,Savings,GB23JPVK88487581844027,2023-09-27,63264
91,810,Savings,GB19UWAE99656194818764,2022-07-25,42870
92,824,Savings,GB83CFFU11552456097687,2023-08-25,83746
93,292,Savings,GB19PTJD23727546380869,2021-11-14,25946
94,60,Credit Card,GB92YENN43922587941854,2022-07-21,36151
95,798,Checking,GB10LADL83521714194541,2024-09-11,95563
96,561,Checking,GB73LBHU78101037959983,2021-10-16,53854
97,184,Credit Card,GB50DVEG04592103702174,2021-01-20,24712
98,293,Checking,GB21UAJS54040280420054,2020-12-26,67739
99,961,Savings,GB89WDXI71230643938348,2020-12-03,36540
100,489,Savings,GB27XNFE28486141341258,2020-09-24,86448
101,969,Savings,GB85ZQBQ98413610283440,2024-04-02,29643
102,300,Checking,GB18ISPD48295384362261,2024-09-13,21948
103,697,Checking,GB51EOWS97852601938052,2022-12-20,97814
104,882,Credit Card,GB64UUFL97449655403966,2022-06-06,78668
105,46,Checking,GB87RPUJ36297636483612,2020-02-19,77768
106,347,Savings,GB67ZDVS33684938546369,2020-05-28,65606
107,379,Credit Card,GB33ZNIH09959932771613,2022-02-28,52759
108,964,Credit Card,GB12BZUR46472228767869,2020-06-13,13720
109,708,Checking,GB28TDMQ54671830596168,2023-09-30,45698
110,935,Checking,GB40GIWX34543991385398,2020-03-03,80387
111,895,Savings,GB72MMMJ04187227665905,2023-10-21,20067
112,660,Savings,GB79VVVH82451439096540,2019-12-11,29886
113,978,Credit Card,GB30WNKC50012408607676,2023-04-01,44425
114,526,Savings,GB78HLKD94155544107642,2021-07-25,68983
115,218,Checking,GB64BYLF36349397810045,2023-11-26,4278
116,970,Credit Card,GB43UXKV82806921258373,2024-05-01,15919
117,977,Checking,GB71NBCW10652018975326,2022-12-13,78271
118,3,Checking,GB11PHGA57370581914458,2021-11-16,31144
119,490,Savings,GB16LGAW14167513757809,2021-10-21,89388
120,868,Savings,GB98HLKU89306881559841,2021-08-20,59772
121,17,Checking,GB47QZAJ50609049061817,2022-12-25,31627
122,460,Checking,GB86CXJZ10642900297606,2022-04-08,37053
123,166,Credit Card,GB65QQKN64936790211221,2024-04-22,64650
124,840,Checking,GB72ELIX33064377277930,2024-08-08,36884
125,374,Checking,GB72SUUK10255388048184,2023-11-09,21307
126,705,Savings,GB49NYYD67532622814292,2020-10-14,99339
127,960,Credit Card,GB15CXXK05775859025016,2020-03-19,75370
128,445,Credit Card,GB14AHAD85597066778685,2022-01-27,75842
129,160,Credit Card,GB95SPHJ01831754787619,2023-11-27,81101
130,694,Credit Card,GB15WAPN57842038350816,2024-08-25,86118
131,827,Credit Card,GB12NFBN78049962232149,2024-10-03,49850
132,902,Checking,GB48HFTG72751731269056,2020-12-17,31914
133,442,Checking,GB97PKZV82564692943838,2020-10-29,13785
134,470,Credit Card,GB72UBGI60157046253023,2023-03-04,51309
135,126,Checking,GB66EZKR49533399114340,2021-03-21,18770
136,505,Savings,GB64CQOP44759796356212,2024-03-24,81608
137,507,Checking,GB59QFUY08601761649095,2023-09-30,17229
138,620,Credit Card,GB83OCWX27613937190681,2023-12-21,26651
139,898,Checking,GB42LYPB83557533822577,2020-11-07,56991
140,617,Savings,GB05UXXE95302184840580,2023-07-25,71044
141,629,Checking,GB72YCAG50884868603438,2022-02-10,31151
142,413,Savings,GB81UGRO28049286260393,2021-10-26,64389
143,431,Savings,GB73XDAJ04105732728920,2021-03-19,29159
144,174,Checking,GB22TVOD60191184939198,2024-03-14,58240
145,107,Savings,GB14QZGA61546737753923,2020-02-02,79782
146,429,Savings,GB21EEZJ61682837206206,2023-10-31,86788
147,124,Savings,GB94IUZU49560542552478,2022-08-07,13664
148,275,Savings,GB20RRIV10511822094286,2021-05-27,23393
149,147,Credit Card,GB22PBSP84295836409863,2023-03-19,16670
150,430,Credit Card,GB91IDDW87563187011732,2021-01-11,90099
151,572,Savings,GB66HZVZ13320928631671,2024-04-15,39824
152,582,Credit Card,GB25HEYX76812720872233,2023-09-08,61421
153,273,Credit Card,GB27DAMR13772912033213,2022-01-03,75192
154,860,Savings,GB70CJFP29449599531810,2020-04-24,71782
155,871,Savings,GB89FILK76566380484353,2023-09-29,23128
156,583,Checking,GB14RMYJ38898939676808,2024-03-13,62381
157,119,Checking,GB74KHIA96286405423844,2021-08-18,60576
158,440,Credit Card,GB85FEVB32059025360304,2022-05-06,35243
159,229,Savings,GB82VQEL26219853502937,2021-06-16,5780
160,906,Checking,GB09GXYK85788412265779,2023-05-29,3751
161,79,Checking,GB59GFKP90218582425863,2020-09-04,48469
162,536,Credit Card,GB75JVWN05796273866024,2024-03-27,68334
163,924,Credit Card,GB24YKNQ06980644783972,2021-12-11,92110
164,763,Checking,GB57JUOH99995028760550,2019-10-04,96101
165,388,Savings,GB02WXDS73433911598395,2023-05-16,45981
166,698,Checking,GB11ZASR43452559485576,2023-08-19,82795
167,293,Savings,GB45SBFE97834423089969,2021-05-13,49019
168,569,Credit Card,GB18ZVFA72709025978689,2021-12-16,21508
169,81,Savings,GB75KVSH06549295330586,2020-11-22,86903
170,33,Checking,GB39ZCAX48740304532878,2022-08-16,17355
171,248,Credit Card,GB16YRWU75543187953522,2023-02-25,99386
172,343,Credit Card,GB05DOTV02233603963461,2023-12-29,36806
173,259,Savings,GB13VZKR87083865667286,2024-01-30,32059
174,222,Credit Card,GB84KJDC96729389947313,2019-12-18,22951
175,557,Savings,GB10URBL77655836915646,2021-08-02,98759
176,912,Savings,GB87TEQE23944879027048,2020-02-05,57657
177,379,Credit Card,GB89JZDF21139951019172,2023-07-07,52381
178,147,Savings,GB53RAFQ20884553113599,2021-01-09,58394
179,15,Savings,GB77AEED11126255461411,2020-06-16,43144
180,426,Credit Card,GB86PIHS94478069192902,2022-09-28,45667
181,846,Checking,GB88FEQT53694905313691,2020-03-06,89096
182,874,Checking,GB47WXZN40183789207574,2022-05-04,31934
183,196,Credit Card,GB54IFKS21278828683771,2021-07-05,69056
184,710,Credit Card,GB42EGTE97495590682726,2024-04-22,42033
185,116,Checking,GB50CINA77545061101040,2020-02-28,69081
186,765,Checking,GB94PXLR67188584950759,2019-10-16,50564
187,144,Checking,GB60HEJH65308448767752,2023-02-18,90073
188,393,Savings,GB07FBUG96678677902601,2024-09-22,62890
189,891,Checking,GB05DPLJ34006762740028,2020-07-08,82464
190,209,Checking,GB63FDJV36514648771854,2020-02-06,75076
191,595,Checking,GB52FULI38877682931083,2022-04-25,99772
192,585,Checking,GB63BFBG79231983820865,2020-12-21,12886
193,964,Savings,GB43HMYI54502573919029,2020-03-02,44082
194,55,Checking,GB28VDPC87317486209628,2022-10-09,72648
195,385,Credit Card,GB38XPPA81432723701276,2022-11-29,90375
196,994,Credit Card,GB22QABS99168001389454,2024-06-03,42376
197,699,Savings,GB15ZTFK31123957651415,2020-02-10,30349
198,464,Checking,GB52IUKY17639306246219,2023-12-29,17176
199,725,Credit Card,GB37LUUS29555721865773,2020-06-11,43291
200,539,Credit Card,GB89PVUN93586138187411,2023-02-04,43824
201,149,Savings,GB24ISXJ17694458147602,2020-04-05,63414
202,519,Checking,GB24BGCE85693059202193,2020-04-18,90812
203,621,Savings,GB17FDRB66107370417312,2022-03-01,74159
204,170,Savings,GB60HQYU38029526807745,2022-12-06,38280
205,893,Checking,GB80MPCF64593170717215,2023-04-07,71129
206,905,Credit Card,GB73WBQR35080722899209,2021-09-14,39179
207,211,Credit Card,GB37JMSH90668517857806,2023-10-26,40088
208,162,Checking,GB93XVTT36132629732594,2024-04-03,89115
209,165,Savings,GB57HGPO77361793066371,2023-04-24,14988
210,927,Savings,GB57LFSO98428010571899,2022-11-14,57376
211,364,Savings,GB05VQIL76014871979382,2020-10-06,87789
212,980,Credit Card,GB07QGGH59445034167948,2019-12-09,85309
213,265,Credit Card,GB85DYOD32382614665114,2020-02-09,3369
214,291,Credit Card,GB92LTFV86833029917227,2021-12-20,68892
215,47,Savings,GB71GQYY55605771289151,2023-09-19,70320
216,886,Credit Card,GB28LMGI86519111208739,2019-11-13,28132
217,814,Checking,GB39PVNU61827495573139,2022-01-27,62659
218,650,Savings,GB69YZOA13858967225372,2023-04-23,94677
219,331,Credit Card,GB50DWTN68625620503538,2020-04-21,32144
220,547,Savings,GB41HIVH92086222048690,2020-11-09,8065
221,278,Credit Card,GB18JZNL04663559838212,2023-05-28,46325
222,420,Savings,GB70JNOF07236598693514,2022-05-18,1483
223,900,Credit Card,GB51QOYR82135126251729,2021-01-18,38778
224,243,Checking,GB55JUJE41351318673552,2023-01-20,96140
225,531,Savings,GB62MPMI67780566703634,2020-03-30,97513
226,467,Savings,GB23RJCI09096296399459,2020-02-26,52124
227,882,Savings,GB49MWYY94649725027769,2020-10-09,83105
228,708,Checking,GB06UWWT00296989835650,2023-05-28,51917
229,541,Checking,GB85CKAL66850850617770,2022-09-12,96365
230,755,Checking,GB80CPEX95039304105176,2024-08-14,39093
231,224,Checking,GB11JGYH57470550709951,2021-02-14,86673
232,203,Checking,GB24AKZO92985016258155,2021-07-19,54907
233,40,Credit Card,GB34GYIP24898593032440,2022-08-30,69679
234,186,Savings,GB31YCUP69188308826436,2021-10-07,94587
235,388,Credit Card,GB17GCHO91992467438881,2020-11-26,51886
236,943,Credit Card,GB34MAUG97580610615299,2020-12-27,21079
237,604,Checking,GB93RDJH30228599598518,2020-07-01,97397
238,7,Credit Card,GB72QYVX62038963249779,2022-12-05,48211
239,177,Credit Card,GB78YVJC19866496312217,2022-02-03,27762
240,654,Checking,GB02ITAY42661834500361,2020-01-31,74658
241,73,Savings,GB93ESCM42838100095831,2021-02-13,96175
242,945,Savings,GB06GSDJ71264941075441,2024-01-09,17609
243,107,Credit Card,GB64HFTS69239071150638,2023-09-15,14452
244,50,Checking,GB22BOWJ83636511214581,2023-06-24,86530
245,485,Savings,GB19OYKN53377531595380,2020-09-19,87667
246,811,Savings,GB13NZNF78667674517010,2023-10-16,43490
247,346,Credit Card,GB95CCGL80791883883931,2020-02-03,38359
248,882,Checking,GB97BBKN71337826584035,2022-06-18,52051
249,819,Savings,GB47ZVAT61064152594747,2020-08-18,37700
250,137,Credit Card,GB18CLWN96630617303962,2023-01-05,99165
251,990,Savings,GB62RWFC14931560100064,2023-11-17,12783
252,489,Credit Card,GB65BGVU25885525913826,2023-05-12,2365
253,130,Credit Card,GB61LLJW34271641632962,2019-12-25,80584
254,703,Checking,GB40UGUQ39469179642427,2022-03-24,98265
255,812,Savings,GB73HGVW57386439068205,2020-09-22,82530
256,864,Savings,GB12LMKP32875393557371,2021-02-01,69192
257,84,Savings,GB45HNJU60878079551725,2022-03-13,12855
258,709,Savings,GB80TFKX56682564615580,2023-07-31,9967
259,34,Savings,GB16XQME21347523607893,2022-04-24,84080
260,172,Credit Card,GB12DIJV72902486827233,2020-10-24,2488
261,720,Credit Card,GB63PTUW56353010047839,2023-06-22,7627
262,67,Checking,GB85LHVT03902980748259,2020-02-08,72348
263,709,Credit Card,GB94JSKE92896833950127,2021-05-05,29869
264,875,Credit Card,GB34OVRH71867430364506,2021-09-13,50693
265,138,Credit Card,GB26ZMBY39504180530834,2022-07-22,47543
266,16,Checking,GB64SABZ30651921522544,2023-09-20,3956
267,283,Checking,GB70XIXD57175627198322,2021-08-24,94623
268,523,Checking,GB08KGGP64069338894338,2020-06-29,97549
269,129,Credit Card,GB65EAYZ94898479871173,2020-06-07,8382
270,647,Savings,GB52XWKE35639663732495,2020-03-13,97296
271,523,Checking,GB39KDZY73145999240138,2022-03-22,6532
272,91,Credit Card,GB27HDZR27525121048972,2021-04-12,16707
273,216,Savings,GB28MVHS71982334593563,2021-10-25,34079
274,530,Credit Card,GB63RDRC92239992648083,2024-09-02,79572
275,604,Savings,GB18EJNV42591597340607,2022-07-28,94501
276,877,Savings,GB79ZUCP61310189495939,2021-07-25,16501
277,830,Savings,GB59AWQU78316888367082,2022-04-27,66972
278,222,Savings,GB13DRZY73739458173754,2021-06-13,59162
279,1,Checking,GB82KDUG19407747077585,2022-10-30,99732
280,296,Savings,GB47JUYZ55908884573877,2022-07-20,58363
281,564,Checking,GB17BVZN44961809986860,2020-04-03,88268
282,332,Savings,GB60LJUD42687508609532,2023-05-31,16293
283,873,Savings,GB62BRUO24536060568376,2020-08-11,61662
284,780,Checking,GB53RDAX74411592407967,2021-04-22,43931
285,752,Checking,GB89DEHA51961702144562,2022-03-18,89542
286,867,Savings,GB55KVSK79107439159312,2023-06-29,5375
287,551,Checking,GB41TYKN34180826702554,2022-02-14,78292
288,805,Checking,GB97OXKM36957452130211,2023-10-18,63218
289,134,Savings,GB07WOLL67793951908583,2021-09-15,98834
290,725,Credit Card,GB58IIQK06860720902684,2023-09-24,12351
291,107,Credit Card,GB76QNTE46004387739969,2021-02-16,56993
292,541,Savings,GB49OCRK08837821456769,2020-08-16,96645
293,311,Credit Card,GB06PXAS97692669629595,2023-05-21,61542
294,215,Checking,GB81PLOP16681631291741,2021-11-12,35106
295,613,Checking,GB77VGNG09695275114538,2021-12-19,52876
296,168,Credit Card,GB58MPTS83850207505264,2021-04-16,93438
297,994,Checking,GB75BNKC96570662445730,2022-05-25,63396
298,774,Credit Card,GB82KFFH42983933638699,2020-11-09,52194
299,599,Checking,GB71SSGI71198063847761,2019-11-22,9577
300,755,Savings,GB38OEMH22734812442455,2023-10-25,67911
301,855,Savings,GB21XUMO43135096877142,2020-02-24,16518
302,559,Checking,GB36GYJE86806277935922,2020-12-14,72304
303,495,Checking,GB80RREV35698830921673,2023-11-17,91329
304,724,Credit Card,GB64JJZL58751821185874,2022-01-04,97454
305,366,Savings,GB72WBJT55260047755266,2020-10-20,98961
306,998,Checking,GB69YJOA98313084246778,2024-07-14,54662
307,694,Checking,GB16WAWO64114097045454,2023-11-15,19940
308,257,Savings,GB37OYQS22766926826703,2021-04-04,63375
309,722,Checking,GB67QXBN21192907888217,2023-02-15,42169
310,814,Credit Card,GB29IRJI05918852875149,2023-02-17,90424
311,87,Savings,GB58OGFY03443760299371,2022-07-16,65463
312,805,Credit Card,GB92WOXC05615774686559,2021-12-07,12942
313,1,Savings,GB30WZBD74404694886048,2024-01-15,97801
314,394,Credit Card,GB26TBPN36153048226738,2022-04-17,50211
315,96,Savings,GB88SJLF44994072757740,2021-12-24,68474
316,67,Credit Card,GB85FKGJ56937806312793,2023-11-02,65513
317,655,Checking,GB22QWUX19754079246094,2020-12-06,5260
318,260,Checking,GB85XXZG07191421186589,2024-01-09,68483
319,296,Savings,GB25ZSCG58534960628945,2021-09-22,91820
320,569,Checking,GB10FKGO14589062867333,2022-01-13,30279
321,971,Savings,GB46VTZF18113997365389,2020-12-07,24152
322,841,Checking,GB86TDGP12205012234290,2020-04-17,8010
323,206,Checking,GB28HIXK41639974454793,2023-07-03,51628
324,408,Credit Card,GB63VNNS72150239389746,2024-08-01,46129
325,794,Credit Card,GB95UWUQ02957442150242,2022-04-06,81733
326,159,Savings,GB20QWWK18794723780509,2024-05-22,36382
327,344,Credit Card,GB32BIFL50784001782760,2022-02-08,14992
328,828,Checking,GB13KDMR85338503308153,2024-08-14,86663
329,341,Checking,GB94TDYA33479214869554,2023-04-03,17853
330,427,Checking,GB23NAYA19222090096392,2023-03-29,46796
331,855,Credit Card,GB24EITH47242063107517,2020-12-22,23396
332,585,Credit Card,GB66BFID43122439020401,2021-08-05,14259
333,688,Checking,GB28HSHU51662212581618,2022-11-20,13098
334,261,Credit Card,GB31ZTCD62462164564571,2022-07-24,16226
335,1,Credit Card,GB15QHSV92887024090166,2022-04-30,59781
336,977,Credit Card,GB87XRKX74887901707414,2019-10-13,79866
337,404,Credit Card,GB71SKTE55887080904334,2024-02-05,20887
338,949,Checking,GB27WNOO76572923584823,2022-10-24,31615
339,291,Credit Card,GB98LLQI30721064788283,2019-10-27,93614
340,56,Credit Card,GB32HDIU80465343586276,2021-08-27,4202
341,329,Credit Card,GB98TWZH84526294924779,2021-06-22,59666
342,42,Credit Card,GB94YMJA86070852795545,2023-08-01,18129
343,70,Checking,GB37FYPT88073194466203,2024-06-04,78968
344,284,Savings,GB43RDRI84882591085366,2020-05-21,94949
345,571,Checking,GB75PDRE43762269081445,2022-03-31,54790
346,4,Savings,GB73CXST75157497825733,2021-04-25,11076
347,190,Credit Card,GB58MZQH58289546491094,2021-12-22,84266
348,434,Checking,GB83SBQT00331038859101,2022-10-23,27454
349,712,Checking,GB30CURQ82333165555600,2020-07-07,34122
350,255,Savings,GB73FQDD47419179007694,2021-11-02,49764
351,338,Savings,GB53BDJN48638222493383,2021-11-21,87913
352,264,Savings,GB45YVYD26941159324041,2022-02-27,63320
353,712,Savings,GB52GWRZ05575719235579,2021-08-14,74258
354,47,Savings,GB61FUTG76513493497388,2020-02-22,15145
355,209,Savings,GB50CHLO27036274160253,2024-05-03,2965
356,717,Checking,GB98CHJD84728170739090,2021-06-09,2454
357,75,Checking,GB80WTPO72033363397408,2022-12-31,36507
358,3,Credit Card,GB61JVMS39896939405982,2020-11-02,80200
359,957,Credit Card,GB56XKRU27325644879404,2024-02-28,65935
360,458,Savings,GB25MODE90175751859264,2020-05-04,56243
361,351,Credit Card,GB36NBDR41709923591373,2023-08-31,15822
362,286,Checking,GB65LFGO83030370374622,2022-05-27,70676
363,210,Checking,GB18JRLK92192927871722,2021-05-27,47017
364,211,Checking,GB65ZGRO28356056367347,2024-05-28,45193
365,739,Savings,GB43KRSV21716956430467,2023-03-11,56414
366,130,Credit Card,GB47CRXJ04829646294578,2022-10-02,70415
367,63,Savings,GB49GBYP94788566018189,2023-12-08,61976
368,263,Savings,GB76WQFK05769141828129,2021-12-06,17205
369,681,Checking,GB37ZGVF90532169846959,2021-01-15,78948
370,890,Credit Card,GB85YFKE71604354622443,2022-03-18,12186
371,237,Savings,GB06TRON59278682733905,2023-07-05,33562
372,37,Checking,GB97YECZ74141036742489,2020-07-05,28114
373,891,Savings,GB37FJIV81029336830889,2022-01-14,2572
374,47,Savings,GB92AVUG97595644964235,2022-04-22,77671
375,163,Credit Card,GB77EATB18979640839459,2023-09-15,88467
376,281,Savings,GB75YDWN00934224895325,2024-07-26,92044
377,568,Checking,GB98OUHV19721563964911,2023-12-05,61074
378,722,Credit Card,GB53CGKG61757273042825,2024-07-29,73605
379,223,Checking,GB41LNAG84588885198942,2021-12-09,48670
380,448,Checking,GB40TMMD41691358583722,2021-04-22,11309
381,890,Checking,GB16HJWM96889161105804,2022-09-25,4554
382,209,Checking,GB70PDAU90173751557629,2021-09-15,14696
383,638,Checking,GB43BYCO70934257380056,2021-04-26,52579
384,746,Savings,GB71ABND54533924535429,2021-01-09,44359
385,191,Savings,GB72FSRA60157844464959,2022-12-13,88986
386,685,Checking,GB94UJGH67004197064563,2022-09-13,62204
387,273,Credit Card,GB88MYQS22695605864366,2021-02-19,85768
388,665,Checking,GB25ZBUJ28841071629213,2024-03-29,4281
389,373,Credit Card,GB10CEMH58161868649155,2023-09-29,52219
390,744,Savings,GB34ZPBO52399999695284,2024-05-21,54824
391,496,Savings,GB12NZOF30052870350975,2023-08-30,14341
392,189,Savings,GB52HIAP45792918473360,2024-09-21,49966
393,175,Checking,GB70CMUN96595370568746,2022-04-15,64006
394,254,Savings,GB88YSMG73704356941525,2022-09-30,26913
395,341,Credit Card,GB83DRMZ44017510416382,2022-11-14,96517
396,373,Checking,GB59ATDJ48250768847724,2021-03-13,73017
397,883,Credit Card,GB42FFIK17594348701429,2021-12-29,10659
398,954,Checking,GB79LJXH42786615705648,2020-03-29,34680
399,712,Credit Card,GB13JRHP68607064669465,2019-12-03,49971
400,854,Credit Card,GB98BSJJ51551071555662,2021-01-06,75151
401,461,Savings,GB94PWDC97595837928030,2022-10-20,58412
402,791,Credit Card,GB52QYDE14498469373804,2020-02-17,54399
403,132,Savings,GB75SCDU44234376634407,2020-09-11,70309
404,269,Credit Card,GB04XQPZ94591305188791,2024-07-18,31771
405,604,Checking,GB98JHMF13075256050804,2023-11-03,97863
406,37,Savings,GB29LRAM23504713768530,2020-02-08,91105
407,477,Checking,GB87BKIM70772279925060,2023-10-18,61057
408,777,Savings,GB67FGDX08099618197177,2021-06-23,55304
409,360,Savings,GB43ITIH42220751908561,2020-01-08,69227
410,20,Credit Card,GB45ZKLS01530165290065,2024-03-12,65869
411,796,Credit Card,GB03UJFT94305364590697,2024-02-27,3195
412,461,Checking,GB98AEGA29852278206913,2023-04-29,67522
413,823,Savings,GB39SXXL48970958617190,2020-11-03,62355
414,425,Checking,GB92CZKM93357263875720,2022-06-05,86614
415,411,Checking,GB59VKFQ66795754198303,2022-08-27,4672
416,855,Checking,GB12LNLX13819544184354,2024-01-12,51714
417,601,Checking,GB04BWRS27144015866582,2024-06-12,21341
418,426,Savings,GB36XGZS10382876271754,2020-08-22,55655
419,568,Credit Card,GB78WZVB65857639325928,2022-05-16,45923
420,625,Savings,GB24GEID59582416033095,2024-08-17,9677
421,815,Checking,GB27WDGA65863899437605,2021-12-16,88484
422,760,Credit Card,GB58SQSE59702350664858,2022-03-27,46859
423,932,Credit Card,GB85HWNF88204795674379,2020-11-29,91759
424,448,Credit Card,GB41HZBZ79743809746156,2024-01-17,14820
425,407,Credit Card,GB51DBWD16548678163386,2022-03-28,33848
426,788,Savings,GB36NPNY87999590320090,2023-09-20,30608
427,416,Checking,GB25TLJW58218607788873,2024-04-03,48002
428,540,Credit Card,GB26POQT72936629952825,2024-02-25,80780
429,505,Savings,GB77NBMO50785480594895,2023-04-13,26504
430,872,Credit Card,GB59FJXX36220870999945,2022-02-28,9466
431,830,Checking,GB88UEZN14114660512622,2022-12-22,89665
432,174,Checking,GB26TYUJ15499307928857,2024-04-11,25092
433,727,Credit Card,GB81XWCT14682116784055,2021-06-18,33089
434,900,Checking,GB89KVOW21223072816010,2024-09-08,92923
435,889,Credit Card,GB06SOUF18808991843650,2020-12-27,66319
436,486,Checking,GB71RAWF81795467265258,2020-09-11,73492
437,84,Checking,GB48QICP36975021413886,2020-04-04,4719
438,242,Checking,GB38SUCA26489342770331,2022-06-04,34012
