customer_id,name,date_of_birth,age,gender,address,phone_number,email,education_level,marital_status,income_category
81,Alexis Parsons,6/13/1947,77,Female,"98469 Renee Alley Apt. 117 Patrickshire, WI 97064",+1-419-994-8422x9878,dean42@example.com,Unknown,Unknown,$120K +
82,Edward Evans,6/1/1969,55,Female,"42739 Arnold Trafficway Woodschester, CT 65138",001-708-627-1938x21406,amiller@example.com,Unknown,Married,$40K - $60K
83,Jaime Jones,12/8/2005,19,Male,USNV Williams FPO AA 91415,001-298-206-3847x820,michaelcasey@example.com,Graduate,Married,Unknown
84,Erin Kline,7/26/1947,77,Male,"012 Wilson Route Apt. 469 North Jessicashire, GA 81022",(320)359-8226x80536,echapman@example.net,Graduate,Divorced,$80K - $120K
85,Tony Martinez,10/22/2001,23,Female,"712 Kevin Tunnel Suite 355 Brendachester, PA 46569",(458)348-1601,lowekyle@example.org,Graduate,Married,$60K - $80K
86,Antonio Gutierrez,9/2/2004,20,Male,"291 Kayla Spring Suite 555 New Amberside, DC 65678",(906)849-7773x30487,robinhernandez@example.net,High School,Single,$120K +
87,Rhonda Christian,9/14/1989,35,Male,"2938 Murray Mount Suite 820 Bookerport, PA 06394",(981)325-3734,timothy98@example.org,Uneducated,Single,Less than $40K
88,Thomas Rodriguez,3/12/1991,33,Female,"340 Alexander Spring Suite 454 Port Shelbyberg, WA 43539",-6354,daniel18@example.org,High School,Single,$60K - $80K
89,Alex Landry,11/4/2000,24,Male,"1116 Baker Stravenue Apt. 060 Osborneside, AS 72329",(626)897-9161,kristin98@example.org,Unknown,Married,$120K +
90,Robert Delacruz,6/27/1976,48,Male,"05575 Laura Curve Port Carol, WV 11019",001-763-498-1697x5757,monicadelgado@example.org,High School,Single,Less than $40K
91,Tammy Elliott,8/11/1966,58,Female,USCGC Davis FPO AA 40484,748-336-1996x962,dwilliams@example.com,High School,Single,$80K - $120K
92,Patricia Mccullough,3/1/1957,67,Male,"862 Carolyn Islands Jonathanport, CT 25423",001-577-917-1909x309,wfisher@example.net,Graduate,Single,$40K - $60K
93,Christopher Duran,2/5/2003,21,Male,"63283 Thompson Spring Suite 661 Lake Jason, OK 10136",998-493-6828,tbennett@example.org,Graduate,Single,$80K - $120K
94,Maurice Wilkins,2/19/1952,72,Female,"2348 Stephanie Common North Douglasshire, PR 49009",956-720-3030,jennifer51@example.org,Unknown,Married,Unknown
95,Leslie Brown,4/11/1998,26,Female,"9083 Brown Mission Johnmouth, WV 71503",6257796610,corey66@example.net,Graduate,Married,Less than $40K
96,Karen Eaton,3/19/1991,33,Female,"3323 Brooke Place Apt. 955 Andersonhaven, AK 33134",870.729.5098x538,michael19@example.com,Graduate,Married,$40K - $60K
97,Steven Summers,5/8/1993,31,Male,"616 Roger Parks Port Donaldland, MN 85957",935-674-6252x280,stephanie49@example.com,Doctorate,Married,$40K - $60K
98,Anthony Campos,1/28/1979,45,Male,"856 Baker Coves Apt. 386 Hutchinsonland, PW 07588",959-899-2057,larry54@example.com,College,Married,$120K +
99,Cheyenne Thomas,9/26/1995,29,Male,"750 Jessica Neck Suite 715 West Michael, HI 81890",001-592-460-1753x686,gadams@example.net,Unknown,Married,$80K - $120K
100,Jodi Pierce,5/12/1964,60,Male,"44911 Torres Gardens Apt. 028 Lake Beth, TN 93237",(555)696-5623x729,joseph81@example.org,College,Single,Unknown
101,Jennifer Foster,10/12/1953,71,Female,"50015 Long Rapids Samanthaview, IL 09575",509.672.9044,christine55@example.com,Unknown,Married,Unknown
102,Lindsay Schmidt,5/2/1978,46,Male,"608 Keller Ville Dawnside, NV 47933",580-620-3698,john58@example.org,Graduate,Married,$120K +
103,Meredith Robinson,4/10/1973,51,Female,"207 Barbara Ridge Suite 107 New Tiffanyburgh, VI 63862",-10589,fsmith@example.net,Graduate,Single,Less than $40K
104,Lisa Martinez DDS,6/12/1955,69,Male,"9710 Gilbert Mountains Suite 298 Lake Danielle, VT 86566",562.975.0025x0448,pamela39@example.net,High School,Unknown,$60K - $80K
105,Christopher Ortiz,6/26/1995,29,Male,"0529 Oconnell Summit Suite 397 Justinmouth, ID 22633",+1-518-593-6522x3365,david63@example.org,Post-Graduate,Married,Less than $40K
106,Tara Wu,6/2/1945,79,Female,"14109 Jeff Circles Apt. 192 Buckbury, NC 31000",(745)489-9442,kaiserpaul@example.net,Post-Graduate,Single,$120K +
107,Robert Sharp,11/28/2001,23,Female,"6996 Megan Court Apt. 014 North Angela, KY 92197",001-649-222-6800x2428,wayne89@example.org,Uneducated,Married,$60K - $80K
108,Gabrielle Mckinney,5/1/1996,28,Male,"17985 Cooper Hollow Port Jacqueline, SD 96649",232.354.0583,bonnie92@example.com,Unknown,Married,Less than $40K
109,Michael Bowman,1/31/1955,69,Male,Unit 5247 Box 6705 DPO AE 78171,309.339.5893x3814,annawiley@example.com,Unknown,Divorced,$120K +
110,Julie Simpson,2/19/1981,43,Female,"25210 Elizabeth Courts Pennyton, FM 29218",001-847-375-1845x388,ahoffman@example.net,Graduate,Married,$60K - $80K
111,Ryan Hill,11/28/1966,58,Female,"4750 Arellano Lakes Apt. 832 Melissaberg, NJ 51737",(597)430-2908,hilljoseph@example.com,Unknown,Married,$60K - $80K
112,Jason Fox,9/18/1957,67,Male,"9406 Foster Squares North Ralph, NJ 02462",+1-391-378-7982x89555,eric02@example.org,High School,Divorced,$60K - $80K
113,Erin Miller,9/25/2001,23,Female,"9188 Rojas Dale North Coltonside, VI 07529",(777)263-2605,carsonzachary@example.net,Uneducated,Married,Less than $40K
114,Linda Jones,2/5/1953,71,Male,"768 Troy Valleys Port Dustin, NM 72303",699.623.6584x086,nryan@example.org,Graduate,Single,$80K - $120K
115,Julie Miller,1/2/1970,54,Male,Unit 3011 Box 3753 DPO AP 92299,(363)390-2506,ggarcia@example.org,Graduate,Single,$80K - $120K
116,Whitney Chavez,4/4/1974,50,Male,"2902 Taylor Mountain Apt. 679 Riddlebury, OR 30242",394-679-9799x406,susan34@example.org,High School,Unknown,$80K - $120K
117,Joseph Berry,10/26/1949,75,Female,"86640 Hernandez Square Angelahaven, IN 73957",+1-274-970-4464x2773,zclark@example.net,High School,Single,$80K - $120K
118,Angela Garcia,8/12/1979,45,Male,"67738 Butler Spurs Apt. 428 South Matthew, VA 74942",787-511-7286x9838,davemerritt@example.com,Doctorate,Married,$60K - $80K
119,Tracey Sanchez,11/8/1992,32,Male,USCGC Mullins FPO AP 68382,+1-795-552-3094x9165,mgomez@example.com,High School,Married,Less than $40K
120,Nicole Edwards,7/19/1994,30,Female,"378 Woods Stravenue Port Paulport, MO 69945",3498211508,marissa55@example.net,Graduate,Single,$120K +
121,Kevin Edwards,11/1/1976,48,Female,"777 John Locks Apt. 083 Larashire, NH 57102",001-602-762-0270x709,scottcassandra@example.org,Doctorate,Married,Less than $40K
122,Amy Norris,2/3/1950,74,Female,"43717 Russell Rest Suite 360 New Nathanhaven, PR 27944",303.552.9777x96720,prodgers@example.net,High School,Married,$80K - $120K
123,Joshua Carson,7/15/1960,64,Male,"7477 Laura Plain New Natalie, ME 41772",+1-385-994-2440x815,stacy23@example.net,High School,Single,$40K - $60K
124,Emily Martin,6/15/1944,80,Female,Unit 7821 Box 8353 DPO AP 60189,(713)299-8963,jonathanfranklin@example.org,College,Single,$120K +
125,Miguel Soto,7/24/1989,35,Female,"9854 Donna Trail Apt. 530 Lake Stacytown, NH 30963",414-624-1778,bradleymichael@example.org,Graduate,Single,$60K - $80K
126,Barbara Gomez,9/28/2004,20,Female,"314 Bartlett Ranch Suite 444 South Angelaland, GA 22290",270-440-6622,sullivanjoshua@example.com,Graduate,Single,$120K +
127,Rachel Parsons,5/3/1949,75,Female,"04583 Crystal Square North Jessica, TN 24199",001-483-596-0742,hernandezthomas@example.org,Graduate,Married,$80K - $120K
128,Kimberly Stewart,7/21/1945,79,Male,"7954 Parks Greens Suite 351 North Michael, OR 31831",835-576-2296x374,alexa45@example.org,High School,Single,$40K - $60K
129,Laura Mckay,12/2/1976,48,Male,"07198 Melissa Springs Brendafort, GA 99062",(796)952-6340x89334,hectorthornton@example.org,Uneducated,Unknown,Less than $40K
130,Brandon Howard,9/12/1990,34,Male,"7053 Patrick Parks New Hayleyshire, CO 58483",(571)748-8074x043,kathryn39@example.net,Graduate,Married,Less than $40K
131,Anna Marshall,3/4/1944,80,Female,"76262 Danielle Walks Apt. 743 Lake Raymondport, MP 89141",(734)436-0968x243,ogarcia@example.com,Unknown,Married,$40K - $60K
132,Stephanie Andrews,9/23/1998,26,Male,"958 Walker Plains Suite 153 Roberttown, NV 13493",826.351.1842x55668,matthewwillis@example.com,Graduate,Married,$80K - $120K
133,Jesus Jimenez,4/11/1975,49,Male,"07547 David Unions Suite 116 Camachoton, VA 71885",(611)715-9060,johnshaw@example.com,Graduate,Married,$80K - $120K
134,Anna Gardner,10/5/1948,76,Female,"PSC 4382, Box 8411 APO AE 08357",603.363.9430x72620,wjones@example.net,Doctorate,Single,Less than $40K
135,Amanda Daniels,3/22/1992,32,Female,"2873 Linda Rapids Lake Robertport, AL 28018",(360)596-8808x812,kevin73@example.net,Graduate,Single,$40K - $60K
136,Mathew West,12/5/1983,41,Female,"1781 Kennedy Cliff Apt. 681 Diazton, SD 37717",001-463-442-4008x870,joneswhitney@example.net,High School,Divorced,$60K - $80K
137,Thomas Murphy,5/28/1993,31,Female,"94665 Castaneda Vista Apt. 126 Port Kevin, HI 45767",6334873750,lindseysmith@example.com,College,Divorced,$60K - $80K
138,Diana Mcbride,8/6/1992,32,Male,"0186 Thomas Port North Justin, MA 76758",+1-380-941-0660x726,rgutierrez@example.net,College,Married,Unknown
139,Holly House,8/24/1950,74,Male,"PSC 2037, Box 1330 APO AA 19770",+1-425-805-9449x587,travisamanda@example.org,Post-Graduate,Single,Less than $40K
140,Jordan Jones,11/6/1996,28,Male,"257 Laura Springs Suite 494 Port Ericaland, PA 21719",+1-620-400-0611x22533,davidvincent@example.org,High School,Married,Less than $40K
141,Christopher Beasley,9/2/2005,19,Male,"787 Matthew Lock Moorebury, DE 40758",588.572.2594,parksdebra@example.net,Unknown,Single,$120K +
142,Kaitlyn Smith,9/18/1996,28,Male,"95835 Mckenzie Centers Apt. 359 Port Stephen, MD 61841",(733)886-0705x76991,xgallagher@example.org,Graduate,Married,$80K - $120K
143,Nathan Espinoza,3/14/2003,21,Female,"944 Rodriguez Walk Apt. 950 Andreaborough, AR 85213",796.468.9935,keith03@example.com,Graduate,Single,Less than $40K
144,Michele Cowan,10/8/1952,72,Male,USCGC Reeves FPO AP 99032,+1-408-928-0168x617,lewiskathy@example.org,College,Single,$60K - $80K
145,Steven Riley,12/31/1983,41,Female,"3133 Richard Summit Susanland, NM 12526",985-725-0849x10223,paulgarrett@example.com,Uneducated,Married,Less than $40K
146,Andrew Walker,1/20/1966,58,Male,"645 Stephen Vista Gomezland, SD 15573",762.859.7705,lalvarez@example.org,Graduate,Single,Less than $40K
147,Michael Guzman,12/17/1959,65,Female,"31610 John Rapid Shannonport, NY 77426",3275737771,dsullivan@example.net,Graduate,Married,$120K +
148,Andrew Swanson,1/31/1983,41,Female,Unit 2252 Box 5184 DPO AP 39591,(799)802-6489x774,rangeleric@example.net,Graduate,Married,Unknown
149,Melanie Summers,5/9/1944,80,Female,"70377 Lewis Run Michelleshire, VA 20837",204.624.3394,david24@example.net,High School,Married,$80K - $120K
150,Shannon Wolf,3/20/1967,57,Female,"0122 Tiffany Trail North Michellestad, RI 58607",905-334-0135,stephenestrada@example.net,High School,Single,$80K - $120K
151,Carol Hernandez,3/5/1999,25,Male,"841 Shaun Pass South Derekland, ME 60013",789.557.4636,donald59@example.org,Graduate,Married,Unknown
152,Melissa Sutton,11/14/1989,35,Male,Unit 2680 Box 5484 DPO AE 89402,664.952.5276x562,beckerjohn@example.com,Graduate,Single,$40K - $60K
153,Kara Hopkins,10/18/1968,56,Female,"81777 Butler Causeway New Jennifershire, LA 74021",509.369.5158x409,ronald63@example.org,Uneducated,Single,$60K - $80K
154,Mr. David Bailey,12/2/1966,58,Male,"9148 Jeffrey Estates Suite 136 Carolynfurt, PW 50819",(227)723-2952x08348,meghan47@example.net,College,Married,Less than $40K
155,Robert Daugherty,1/9/1982,42,Female,"8892 Linda Falls New Erinland, DE 86760",001-915-638-3179,roberthopkins@example.com,Unknown,Married,$40K - $60K
156,Jennifer Page,1/13/1972,52,Female,"0008 Jacobs Mountains Suite 862 Lisaland, PA 72569",818.796.2067x86802,yvonne34@example.net,High School,Single,$40K - $60K
157,Steven Medina,7/2/1988,36,Female,USNV Davis FPO AP 11198,+1-525-685-0873x8260,brianna24@example.org,Doctorate,Married,$120K +
158,Javier Robertson,7/28/2002,22,Female,"PSC 9174, Box 1414 APO AA 74147",638.267.4257x386,nicholas99@example.net,Uneducated,Married,Unknown
159,Cassandra Mejia,7/25/1992,32,Female,"4104 Gary Curve Suite 717 New Susan, ME 09811",-4554,connie05@example.net,Graduate,Divorced,Less than $40K
160,Erin Golden,12/11/1985,39,Male,"7822 Guzman Stravenue Apt. 706 Johnborough, MN 43220",001-354-915-6286x162,tiffanyhancock@example.net,High School,Married,$80K - $120K
161,Robert Douglas,8/16/1985,39,Female,"PSC 2460, Box 0304 APO AP 80330",001-311-984-7788x4881,heathervaldez@example.org,College,Single,Unknown
162,Joan Garner,5/19/1963,61,Male,"8788 Bell Shoal Suite 958 Dakotaland, OH 39713",+1-359-746-2564x117,ronaldhoward@example.com,Uneducated,Married,$60K - $80K
163,Paul Sanchez,1/5/1970,54,Male,"920 Kevin Glen Apt. 102 Michaelmouth, MS 71489",899-253-2871,stephenromero@example.org,Unknown,Divorced,Less than $40K
164,Jeffrey Bennett,2/23/1995,29,Male,"5392 Matthew Vista South Abigailside, VI 77016",870-207-1985x0011,douglas44@example.org,Uneducated,Married,$40K - $60K
165,Nicole Cox,4/25/1983,41,Female,"PSC 4675, Box 7847 APO AP 38982",(995)306-9382,oneilldavid@example.net,Uneducated,Married,Less than $40K
166,Tammy Richard,8/17/2005,19,Male,"787 Tina Valley Suite 255 Port Michael, SC 04667",+1-370-246-5630x21043,natalie47@example.com,Uneducated,Married,Less than $40K
167,Brittany Peterson,9/26/1983,41,Female,"147 Martinez Fort Apt. 396 Melissatown, OH 74830",(354)621-5980x308,johnsonmelanie@example.com,Uneducated,Married,Less than $40K
168,Steven Johnson,7/17/1985,39,Female,"45837 Rivers Ville Suite 926 Nicholasburgh, TN 63154",-10387,william58@example.com,Graduate,Single,$80K - $120K
