credit_card_id,customer_id,card_number,card_type,expiration_date,credit_limit
53,992,4068671340902567,American Express,11/26,33182
54,709,3522096870009645,American Express,02/32,5824
55,604,503827873509,Mastercard,09/30,16364
56,65,213115083829191,Visa,01/27,16713
57,544,341300104103066,American Express,09/25,31239
58,430,4369219986487422,Mastercard,01/31,19029
59,779,213159708555526,American Express,05/31,43325
60,726,347217172586200,American Express,05/27,13471
61,5,6544779413752634,American Express,04/34,44120
62,429,501804669767,Mastercard,04/30,26965
63,886,4202700993267494,American Express,08/28,37841
64,912,3587780024473979,Mastercard,12/28,46575
65,339,379991474045468,Mastercard,03/26,36481
66,849,4504901572997064,Mastercard,11/31,39209
67,674,5527910465627936,American Express,11/30,41022
68,403,6011565017176591,American Express,02/26,44834
69,951,213182119083920,Mastercard,11/31,24096
70,110,4013504746679920841,Mastercard,06/27,42599
71,526,4285275472821475,American Express,06/28,25894
72,541,4390319881616969,Visa,05/26,41511
73,914,4427199779872834,Mastercard,03/26,38311
74,896,4190737808726967285,Visa,01/34,14843
75,473,501866588145,Visa,06/29,18144
76,211,213135927739752,American Express,09/27,32204
77,522,343690623150707,Visa,08/27,20895
78,360,180046198936473,Visa,06/31,33954
79,150,4922794901833934,Visa,06/25,33127
80,819,4559444896295,Mastercard,10/29,18827
81,629,4768172048644893,American Express,12/31,20277
82,352,4530961167725377,Visa,04/31,30801
83,206,378301509977688,Visa,11/32,26215
84,34,4997828219363,Mastercard,09/27,38999
85,95,4949813311754800,Visa,07/31,44821
86,566,3513205979885380,American Express,08/25,48937
87,837,374857664255842,American Express,08/28,25618
88,611,6507638184971325,American Express,04/28,13912
89,228,4181540194800599401,Mastercard,05/28,22703
90,711,6503105571382809,American Express,01/33,21947
91,610,213194637465950,Visa,06/29,38402
92,161,3568428646279332,American Express,03/31,24613
93,920,4922387954735312557,Mastercard,10/29,44731
94,407,3509916216841046,American Express,02/32,19194
95,879,4033830233379778,Mastercard,05/34,25464
96,919,6532894930293204,American Express,06/30,10011
97,450,6576717382055671,Mastercard,12/26,44932
98,632,377789552828975,Mastercard,09/33,31746
99,691,3512718010420257,Mastercard,12/30,17009
100,503,213199646985542,American Express,06/33,47925
101,130,3534588613895823,Visa,10/32,22636
102,116,213125179858822,Mastercard,04/31,19682
103,96,2697397966354544,Mastercard,07/33,37558
104,5,2720457705720891,American Express,04/27,25934
105,215,345772962100879,Mastercard,09/34,8075
106,468,4015338335870852,American Express,11/32,36834
107,636,3553213431823289,Mastercard,05/30,17109
108,351,4943649531641286,American Express,01/29,47735
109,861,6580262583833026,American Express,05/32,42906
110,576,30371873460413,Mastercard,03/28,13048
111,603,3506875433349808,Visa,07/30,20466
112,112,4342921858926,Visa,04/25,13120
113,628,3558789125226736,Mastercard,12/32,20191
114,392,213199267743212,Mastercard,09/34,40709
115,658,3513560411880336,Visa,02/29,22210
116,7,6531209414603318,American Express,01/33,22431
117,777,3556466714349946,American Express,06/26,6025
118,161,060473848681,American Express,04/31,11727
119,444,4798182308158165,Mastercard,08/28,13514
120,507,501801376309,American Express,02/30,48318
121,842,4606373762186,American Express,10/25,19601
122,988,341422395519147,Mastercard,03/33,45528
123,376,3599727489782564,American Express,02/32,24360
124,863,3541736232465913,Mastercard,09/29,5203
125,449,2258355354757364,American Express,03/25,15775
126,506,2714345690002326,Visa,04/33,33997
127,116,30243017902818,American Express,07/27,8042
128,232,213121672860076,Mastercard,08/30,32101
129,365,4527331989416,American Express,11/28,37737
130,405,180032248071461,American Express,06/32,46182
131,940,4862782679531220,Visa,06/31,37132
132,15,4170494956952395,American Express,06/32,28288
133,967,675914381339,Mastercard,08/27,18183
134,57,3527482066408111,American Express,05/25,16406
135,314,4524030356609,Visa,06/26,44029
136,877,4896922855995522,American Express,05/34,35309
137,706,4678890069617290694,Mastercard,11/24,17306
138,21,4098655060596223984,American Express,10/25,18048
139,506,373177032274966,American Express,09/30,40666
140,102,6011542733236793,Visa,10/26,28518
141,602,4174758552328867703,Mastercard,09/34,15549
142,731,2720751172001706,American Express,10/29,25678
143,397,349043248255804,Visa,10/26,36972
144,95,30116588818243,Mastercard,01/32,20173
145,729,4089377875074,American Express,10/26,42980
146,624,180070983962957,Visa,08/29,12146
147,989,3567002087613738,Mastercard,10/33,45994
148,851,30572204238333,American Express,02/29,44879
149,667,30443952480214,Mastercard,05/27,41971
150,566,213108568738672,American Express,08/25,24720
151,592,4487856344386486,Mastercard,11/29,49068
152,565,180075289604849,Mastercard,12/26,37928
153,372,4647921487834135,Mastercard,05/29,31474
154,320,4340918598107683237,American Express,06/33,49818
155,686,3598890503014892,Visa,08/28,20160
156,675,213125516511217,Mastercard,04/31,24575
157,156,3522854502973061,American Express,12/31,19029
158,989,3560090056791616,American Express,01/30,14359
159,194,30110762891894,Mastercard,04/27,22997
160,436,3525042003407857,American Express,07/25,40342
161,329,2603729060097269,Visa,02/25,13718
162,341,3590853793582950,American Express,08/30,17116
163,689,36748330025844,Visa,05/33,40422
164,885,4338088172778678583,American Express,11/31,10874
165,80,6011667612632083,Visa,05/25,45713
166,234,4399148478953,Mastercard,05/32,11440
167,79,30568028926350,Mastercard,10/30,10359
168,575,3517823589219430,Mastercard,12/25,35401
169,465,4259523654912428,American Express,09/28,14388
170,747,4430561152815091,Visa,03/26,15831
171,729,4666917327119168451,American Express,10/32,43715
172,935,30302026974729,Mastercard,08/26,10894
173,485,6570749022987704,Visa,06/27,43464
174,802,6553320848983490,Mastercard,06/31,14033
175,505,4288565136914733,Mastercard,11/26,18048
176,305,376127844070554,American Express,05/29,9895
177,847,30072859899174,Visa,08/26,14693
178,592,3508700386248369,Mastercard,06/31,22975
179,104,347852775463397,Mastercard,10/25,22714
180,998,2720874394014198,Mastercard,12/30,32721
181,695,378550797508684,Mastercard,02/33,16131
182,209,2708534415342202,Mastercard,04/28,41405
183,664,2276055661146891,Visa,09/27,49620
184,186,213154103649768,Visa,06/32,17442
185,440,563526422974,Mastercard,11/31,29571
186,736,30542658101923,Visa,07/26,6939
187,232,4807124144329955,Visa,10/30,48829
188,186,4465723252179533,Mastercard,01/26,31573
189,239,4424661319445945,American Express,08/33,24592
190,456,6011697368517055,Mastercard,10/33,8270
191,318,4199841743489502,American Express,01/32,38609
192,90,4973696220354484,Mastercard,12/24,34347
193,387,38117328346992,American Express,06/33,27651
194,220,4656780964834,Visa,03/27,37590
195,547,585751607854,Mastercard,01/32,38394
196,848,4979879172580595,Visa,05/34,32090
197,116,4835794417410748793,Visa,09/31,21586
198,777,4455106561214211,Mastercard,02/28,35451
199,802,3511093784123292,Visa,12/25,25708
200,202,3587449886838030,Visa,03/26,17642
201,540,38610586970065,Visa,05/33,10605
202,774,3502779401033259,Visa,08/25,38969
203,401,6563155836902377,American Express,06/32,9566
204,505,3514910566641216,American Express,12/27,43075
205,265,4361975759764408,Mastercard,02/33,7957
206,770,38775563411720,American Express,08/30,7472
207,586,343160829780046,Mastercard,04/28,46807
208,141,30057048639847,American Express,06/25,12672
209,358,4368053110281386540,Visa,06/32,24392
210,358,3578239639325307,American Express,02/33,29068
211,196,4178801557615949567,American Express,08/28,45534
212,62,30020216085995,Mastercard,03/31,30228
213,151,4334832498717151947,American Express,07/34,44472
214,318,4186983157163044,Visa,07/33,14498
215,150,4233401362445436324,American Express,01/26,40051
216,200,341688612963496,American Express,11/33,9932
217,96,6011712643568912,Visa,08/28,32704
218,165,180040456264405,American Express,05/33,44240
219,747,5464970964615308,Mastercard,09/27,32119
220,386,4515246932761447,Mastercard,11/30,30619
221,989,4250436939307,Visa,03/29,21170
222,215,4170274285174516719,American Express,05/25,19295
223,417,4171072822685172,Visa,06/28,25107
224,74,342910028761994,Visa,05/26,48545
225,331,2290667090314676,Mastercard,09/27,25388
226,381,3567057022798598,Visa,01/28,47158
227,63,4691294032426723,American Express,05/25,48892
228,744,4815667231721,American Express,04/29,37889
229,919,4746275480379642,Mastercard,10/26,8757
230,350,568031567684,American Express,07/33,7820
231,998,4751608340091639,American Express,01/27,24668
232,16,3541231817196067,Mastercard,08/31,30827
233,702,4058859294153020123,American Express,05/26,44955
234,625,6011310412761972,American Express,10/24,38052
235,258,4174388985486921920,American Express,03/25,22934
236,641,2575046935385447,Mastercard,12/31,19680
237,469,4292428767917802,Visa,06/25,39316
238,736,3591003614586983,Mastercard,06/33,36112
239,651,4353006665096610699,American Express,08/29,39716
240,459,4683389612853,Mastercard,04/27,22188
241,822,675937557808,Mastercard,09/29,34934
242,161,4319705045354982665,Mastercard,04/32,42484
243,90,4415271131177444,American Express,07/26,43373
244,858,3557467267622126,American Express,05/27,40573
245,105,639013847087,Mastercard,07/34,21566
246,746,4701495308815162,American Express,05/31,26849
247,948,213140855934292,American Express,11/32,39530
248,553,4693059453274045,Mastercard,04/33,29140
249,856,6552036038346014,Visa,05/28,13178
250,878,3596301227953532,Mastercard,08/33,9768
251,631,3593403496662241,Mastercard,11/31,12912
252,265,3507166430683079,Mastercard,05/27,21763
253,510,371795543370577,Mastercard,11/25,36424
254,704,060425895038,American Express,08/34,23577
255,579,6535175479869530,American Express,07/26,47360
256,742,347206244977513,Mastercard,06/28,40755
257,552,4844343608243,American Express,10/28,29092
258,187,180052595800767,Mastercard,07/29,26828
259,892,676305910058,Mastercard,06/33,18255
260,735,4169778856497300,Visa,11/27,25928
261,305,4183094947589416,Mastercard,04/30,17223
262,346,4357306568122,Visa,01/29,10844
263,831,30413739941770,Visa,01/34,31184
264,853,3538869065718291,Mastercard,08/34,45298
265,749,3595733746193425,American Express,01/25,31717
266,174,180088156458223,Mastercard,10/24,28635
267,860,3594858024101872,Mastercard,09/30,19736
268,126,6011983279488887,Mastercard,01/26,17235
269,541,3553246624775916,Mastercard,03/25,33243
270,378,4095379652396082,American Express,08/28,20586
271,436,6011056576210112,American Express,05/29,11522
272,569,3521543633479418,American Express,02/25,9527
273,629,6011291823430375,American Express,06/28,18196
274,855,2291248063927601,Mastercard,03/34,48493
275,479,213148478699507,Mastercard,02/25,28638
276,549,5220213214836084,Mastercard,01/31,12235
277,153,3534548467229248,Mastercard,11/25,6705
278,932,4264315985500662978,Mastercard,02/26,38824
279,3,4878008111056507,Visa,06/26,18568
280,30,2373322191586778,American Express,01/33,26324
281,534,2568135232373633,Mastercard,03/32,19736
282,155,4271692010984811,Visa,11/26,36882
283,616,4621774676091,Visa,06/27,38553
284,570,5469213973086970,Mastercard,06/28,45893
285,569,2256020823491225,American Express,11/27,24098
286,406,577943261344,Mastercard,06/33,28401
287,558,4803875549021866646,Mastercard,06/34,46786
288,685,4275839799958,American Express,09/31,7929
289,607,2559233769844042,Mastercard,08/25,39742
290,406,180076391004555,Mastercard,03/26,34274
291,823,4590456479332,Mastercard,05/33,11777
292,55,36285831975185,Visa,05/26,46079
293,909,2701085562604404,Mastercard,10/33,21282
294,817,4206519085807934,American Express,12/29,31579
295,106,4200374569988,Visa,05/28,33511
296,736,3523970568885798,Visa,02/26,24224
297,467,4623856346499332,American Express,08/28,41010
298,212,4114990379378471,American Express,02/27,32934
299,258,3550326443767451,Mastercard,06/25,24107
300,803,4837913897444,American Express,02/31,44634
301,67,4190140677112829,Visa,09/30,12723
302,269,676247530436,Mastercard,06/29,13487
303,955,36837637572697,Mastercard,10/30,10209
304,151,30453637383113,Mastercard,03/25,22247
305,237,30383836719330,American Express,04/27,20182
306,355,4433453093067734,Mastercard,08/31,33272
307,786,4528848049916360133,American Express,07/26,45913
308,620,4695514819709462738,Mastercard,04/29,17382
309,767,3589343230751924,Mastercard,06/27,44200
310,121,4917784146497246,American Express,03/27,35162
311,522,4954945934114016753,Visa,10/32,41077
312,192,4092482541363561,American Express,08/30,8187
313,822,377030156781850,American Express,08/29,33397
314,772,30149060379871,Visa,07/27,49603
315,412,3583113967623182,Mastercard,01/31,23112
316,574,36532547538660,Mastercard,03/30,13056
317,278,501893788221,American Express,09/28,20700
318,87,4457723228419328,American Express,05/28,44779
319,251,4839133707140354,American Express,12/25,20184
320,51,2712911043939753,American Express,08/26,35413
321,936,4178263974786912327,Mastercard,07/32,12269
322,567,4281659704599,Visa,01/27,20461
323,982,2712796641936289,Mastercard,11/31,26598
324,549,503839518779,Visa,04/27,37081
325,918,4620961800472,Visa,03/26,5653
326,339,2291500038612837,Visa,10/26,34389
327,716,3528651123417534,Visa,04/33,44840
328,221,5446967256554107,American Express,10/30,49176
329,199,341264488120130,American Express,05/25,46011
330,983,4191548297434093,Visa,12/27,7755
331,832,3537519458405854,Visa,01/25,26988
332,810,4080898961869111753,Mastercard,10/29,39451
333,207,38984414121609,Visa,02/28,18888
334,75,577432550629,American Express,07/28,9286
335,836,3549703581397792,Mastercard,11/25,38997
336,332,3531353813737801,American Express,05/26,9894
337,163,3523285056857419,Mastercard,09/26,48543
338,341,4999080383929558,American Express,08/33,35368
339,11,6011487280471346,Visa,05/31,34648
340,853,3561373135296214,Visa,03/29,18310
341,618,3585512962190246,Visa,02/34,49634
342,538,4183270614050,Visa,02/33,31720
343,712,4004444758590492042,Visa,10/33,38894
344,293,6011467070145458,American Express,07/34,8706
345,554,4814253217046,American Express,11/30,32795
346,555,4971580337327951275,Mastercard,06/33,22801
347,702,3585674038948625,Mastercard,10/32,21350
348,984,372551950622565,Mastercard,09/26,9662
349,778,4147966321411,American Express,03/25,37783
350,102,4094733503200778468,Visa,12/31,14662
351,608,4222738253864648,American Express,03/34,27543
352,733,376921877694839,Mastercard,04/30,36296
353,476,3588576652206106,Visa,04/30,23159
354,614,3588124061007177,American Express,07/25,34661
355,957,213154679304202,Visa,03/26,12720
356,859,6535155306033435,Visa,03/29,29326
357,948,180033375667147,Mastercard,01/34,11935
358,737,6583853482779885,American Express,01/30,17441
359,790,6011634311174221,Visa,05/32,8895
360,447,30158701997165,American Express,09/26,35108
361,351,5320726063567996,American Express,09/32,20111
362,195,4470474615367,Mastercard,05/26,38561
363,87,4118313278869,Visa,04/26,7368
364,336,6011481535058875,American Express,03/28,39236
365,153,341769233631009,Visa,10/31,37750
366,102,676106614115,Mastercard,02/26,6217
367,538,180091353793939,American Express,08/30,31713
368,648,344349415427612,Visa,11/32,13403
369,379,5427883537262266,Mastercard,04/27,46772
370,888,213113270896198,Mastercard,12/29,34876
371,340,341152112751935,Mastercard,10/24,37878
372,522,6545197923671815,American Express,10/32,21998
373,848,38793304878941,Visa,07/31,45791
374,297,6535468371037284,Mastercard,09/31,16766
375,52,180020617887302,Visa,11/29,33791
376,7,3517555988988138,Visa,12/30,11935
377,173,6513972486713297,American Express,10/27,13633
378,269,4732106648242719,Mastercard,07/32,23664
379,638,676383820781,Mastercard,11/24,34462
380,35,4430557870064434,Visa,06/25,28152
381,207,675985234409,Mastercard,10/29,27097
382,572,4248056292767,American Express,06/34,29866
383,906,3576195490254659,Visa,03/25,7601
384,425,348531724606798,Mastercard,02/32,27568
385,626,30023238520999,American Express,08/28,23513
386,231,6563544824196599,American Express,10/32,37691
387,102,2260277356419320,American Express,11/31,17388
388,267,3556639803468351,Visa,06/26,33331
389,435,6011613141117675,Mastercard,09/27,7327
390,854,4761548309590346,Visa,08/33,31084
391,640,4766502294566,Visa,06/26,48745
392,306,501851200284,Visa,11/32,36613
393,143,4700967059973011,Mastercard,03/27,47520
394,823,373233649938848,Mastercard,08/28,11398
395,752,30381427730559,Mastercard,02/34,16262
396,87,4675482458766025,American Express,06/27,14501
397,255,213190634673109,Mastercard,12/31,44354
398,422,4075392312108346,Mastercard,11/31,35437
399,104,4960284190229823,Visa,07/32,26675
400,204,3592931286019652,Mastercard,04/29,23775
401,890,4854122361560031,Visa,02/25,21360
402,371,6011975026300654,Visa,09/34,18892
403,835,345950290686369,Mastercard,11/24,28435
404,268,6570234370664908,Mastercard,03/31,19040
405,306,6598601433407822,American Express,02/26,5633
406,639,180003238746727,Mastercard,05/26,46915
407,49,6011505944743436,Visa,08/31,15195
408,317,348075889466184,Visa,09/33,26242
409,476,4539559514682742919,American Express,06/29,38268
410,231,38197733195895,American Express,10/27,6004
411,741,373017520385967,Visa,01/34,40251
412,435,6011024207198486,Visa,11/27,30588
413,303,2714936347504381,Visa,12/28,20064
414,146,3518981628443525,Mastercard,03/32,25029
415,756,502004331570,Visa,11/30,43178
416,33,4106672969210,Mastercard,08/34,33838
417,136,4843607270183945,Mastercard,07/30,18247
418,267,4995575376394,Mastercard,01/34,36113
419,590,30570812645675,Mastercard,09/32,31248
420,83,4760294603839212272,Mastercard,10/28,36445
421,632,4688661464154780,American Express,05/29,32738
422,544,4011906413532,American Express,12/33,23566
423,168,36373732304612,Visa,01/32,12867
424,743,6011563221361935,Visa,09/32,29000
425,372,30407680270163,Mastercard,08/25,12418
426,268,3546313974634950,Visa,02/31,49637
427,741,3573440244871827,Visa,10/30,42705
428,259,501882415729,American Express,05/31,37366
429,688,4275384202180368,Mastercard,06/33,16876
430,54,4987668274748980,American Express,02/30,9143
431,558,3504728812020049,Mastercard,01/30,49967
432,904,2716482282143149,Visa,10/31,14363
433,848,4887680533291380,Visa,01/31,6797
434,192,6566097308617025,Mastercard,12/25,48436
435,233,2229369272096306,Mastercard,06/29,27436
436,322,4705899304513,American Express,11/27,36744
437,839,501813555072,American Express,02/32,25807
438,1,30133695537764,Mastercard,07/26,29777
439,447,4131083822295366,Mastercard,03/31,48998
440,87,6011116672737127,Mastercard,12/29,23045
441,238,38204199943444,Visa,06/28,33666
442,639,341121800991723,Visa,10/32,28417
443,379,575993279745,American Express,06/32,27066
444,442,4193083231244539,Visa,08/28,32552
445,788,4218622960692,American Express,03/31,21201
446,164,4707676194728924,Mastercard,04/30,26233
447,858,371987306669721,Mastercard,12/31,41908
448,14,4240973361023,American Express,08/29,31919
449,949,30590590671479,Visa,11/26,19831
450,116,4264430438486211,Mastercard,03/31,43248
451,613,6538928588630145,Mastercard,07/31,44927
452,896,3555244093630470,American Express,09/31,5275
453,274,4660203392141951,Mastercard,03/27,32650
454,416,347124774570428,Mastercard,06/29,47610
455,7,4129291686096883472,American Express,03/31,22779
456,94,4820175248663275791,Visa,02/25,27455
457,402,3530997775952989,Visa,05/26,19112
458,896,4114914478716563,Mastercard,08/32,29473
459,959,6011422285517116,American Express,11/29,26276
460,533,2253396899105664,Mastercard,09/29,35277
461,479,213100646775248,Mastercard,04/27,27076
462,11,6011477409849142,Mastercard,09/33,33853
463,939,4859068645736985,American Express,04/29,45785
464,543,180080158585517,Mastercard,10/30,25017
465,510,6011202703116927,Visa,03/29,7524
466,768,4943125046464586916,Visa,09/34,13443
467,118,3578491523375803,American Express,07/27,49697
468,117,373711722914307,American Express,10/25,32385
469,946,2223276055199973,Visa,10/30,45929
470,967,4523338332507650,Mastercard,08/31,24882
471,845,503884543953,Mastercard,09/31,31689
472,719,3531086060746360,Visa,09/33,23803
473,523,4235606107964887,Visa,07/29,49464
474,821,4028040203322805549,American Express,12/31,37177
475,452,4116661370016277235,Visa,05/29,17167
476,338,5219720167316677,Mastercard,03/33,45706
477,623,3563367638322459,Mastercard,03/31,13402
478,260,370105153569594,American Express,03/33,46041
479,585,2543200202844607,Visa,05/31,20635
480,135,345531785230275,Mastercard,02/34,42556
481,101,060441243833,American Express,06/34,18607
482,241,4664209105799,American Express,09/26,46687
483,305,4111983808508651872,Visa,04/32,23531
484,614,3599075515825241,Visa,09/34,9048
485,586,3575430099221382,Mastercard,02/31,42860
486,759,4510570436768136,Visa,07/28,11335
487,158,676307772050,Visa,08/34,22475
488,689,4586094938895,Mastercard,06/30,25204
489,304,6596630130978720,American Express,03/33,42131
490,174,4642427833053,American Express,04/29,46602
491,744,6511745084248524,American Express,05/28,24026
492,353,4849306974633941,American Express,02/33,29447
493,895,213131469224774,American Express,04/30,46316
494,973,501807927295,Mastercard,02/31,14495
495,626,4460876725914,Mastercard,03/33,7474
496,867,4908679996250227,Mastercard,09/29,32039
497,144,4173650466550204,Visa,05/28,39911
498,732,4060565120207767,Mastercard,12/33,15512
499,841,4741102357010743,Visa,08/27,31893
500,776,4722604694005,Visa,05/30,38519
501,656,30582608768231,Mastercard,08/26,46333
502,69,213191840474217,American Express,02/27,14267
503,448,4572357151332891,Mastercard,10/34,10308
504,502,4490707891270,Visa,03/34,34951
505,226,676349279882,Visa,10/24,28653
506,902,213133312746573,Mastercard,05/31,35933
507,668,5573621918008417,American Express,02/31,39880
508,96,30337033339995,American Express,10/31,39327
509,87,213149510521691,Mastercard,09/30,25170
510,883,589513407314,American Express,01/25,22074
511,521,3522880388915132,Mastercard,01/28,20940
512,978,180094434770793,Mastercard,11/28,10458
513,587,3500668008109160,Visa,01/34,49534
514,315,3536286170242475,American Express,05/26,6731
515,554,4327890201858414,American Express,03/34,33506
516,804,3532333917248730,American Express,08/29,7425
517,618,30596499737980,Visa,11/27,16369
518,390,4450055511057045,Visa,08/30,13504
519,898,2387127533411096,Mastercard,07/30,38281
520,620,676115437003,Visa,11/26,9218
521,894,2256336191174130,Mastercard,05/27,26108
522,406,2262241319676218,Visa,10/29,15246
523,280,3571662260608484,American Express,01/30,45147
524,59,371443755269860,Mastercard,11/31,17511
525,842,676157352482,American Express,04/32,31678
526,974,2239294423546009,American Express,07/32,23960
527,856,503879047655,American Express,11/30,16860
528,991,4069274715914744,Visa,08/25,48887
529,892,3534622719871824,Mastercard,01/26,12987
530,380,349415944374826,Mastercard,11/32,39776
531,834,4072872860007,Visa,12/28,32257
532,128,36461952814806,American Express,12/30,38395
533,17,3523617983814768,Visa,01/32,5080
534,417,6011567316186537,Visa,11/32,25566
535,701,4717573630700484,Visa,02/33,39342
536,772,4001102024291234,Mastercard,07/31,33032
537,952,6011858140961025,Visa,01/27,30519
538,757,3505748871405666,Visa,03/25,36378
539,210,347198418184689,American Express,12/32,25132
540,486,675923796527,Mastercard,02/34,21588
541,260,3510274172328146,Mastercard,09/31,6498
542,204,4903166889288,Visa,10/33,17438
543,118,6011510259226068,Mastercard,08/31,33351
544,611,2221445598483721,American Express,01/26,8920
545,501,4556729769071964,Mastercard,12/31,29921
546,629,675982057712,Visa,01/28,15571
547,623,3589377918341327,Visa,10/30,12728
548,740,4905490581736958911,Visa,07/29,35901
549,480,502099382124,Mastercard,04/26,23347
550,93,38964220447513,Visa,09/31,44677
551,964,4706341184572425,Mastercard,11/28,34067
552,29,6595393285746316,American Express,02/34,24919
553,451,6011758715241359,American Express,12/30,42617
554,964,213155045203036,Visa,08/31,38518
555,399,3596081030791945,American Express,09/26,13747
556,147,6011029965884219,Visa,05/28,21013
557,742,30481796543987,American Express,10/31,26978
558,156,2717767849870450,Visa,06/33,43402
559,421,378416679064370,American Express,01/27,46027
560,760,4325963431041,Visa,11/24,42570
561,996,3551557524892656,Mastercard,05/34,21238
562,466,4639189749704596127,American Express,09/32,20450
563,150,4652408954260756,American Express,12/32,21742
564,640,4817778052005033570,Visa,10/30,48549
565,284,375900234136016,Mastercard,05/28,16127
566,889,180019650323480,Visa,01/33,26421
567,285,4293982150772256,Mastercard,05/26,8528
568,499,30099107229573,Mastercard,12/31,13200
569,277,4112373021080294,Visa,05/33,44071
570,924,6011788321745246,Mastercard,04/28,18429
571,623,6011595703293046,American Express,05/34,43564
572,156,30532476998949,American Express,02/28,39034
573,1,675978941010,Mastercard,02/26,11928
574,318,3566388953020475,American Express,08/28,5972
575,906,347922772731680,American Express,02/32,43347
576,109,3537199791264324,Visa,03/27,11751
577,921,343482246447235,Mastercard,10/32,10491
578,439,3508244954584954,American Express,01/29,24429
579,535,4067614910944768,American Express,09/29,48234
580,284,213168799454135,Mastercard,03/27,7175
581,781,3500382974555709,Visa,02/30,19434
582,198,4739723468343,Visa,10/33,20969
583,97,2239689050714152,American Express,01/28,5221
584,774,349075382598748,Mastercard,05/28,6159
585,75,4196275071250066,Mastercard,03/29,28003
586,244,4884917512403344,American Express,11/28,20025
587,52,3537799763977165,Visa,04/26,20978
588,232,2444759015779441,American Express,01/34,37607
589,604,639037589830,American Express,01/33,6735
590,452,180025179195945,Visa,11/26,37692
591,427,372790137056681,Mastercard,07/29,16792
592,542,371251341977502,Mastercard,05/33,17940
593,11,3548608913090539,American Express,03/34,30779
594,548,4525911463797610359,Visa,10/30,23995
595,304,6585668139201614,American Express,06/26,12988
596,336,675927452259,Mastercard,01/30,5483
597,1,4141117082154,Mastercard,10/33,6382
598,857,36915560087501,Visa,06/28,44230
599,517,3579158502697403,Mastercard,04/28,23644
600,651,3575931221863777,American Express,09/30,47167
601,280,4973373410590,American Express,02/25,38071
602,147,30487430536030,Visa,09/26,33086
603,586,180005728579997,American Express,11/27,36457
604,813,36150025155467,Visa,03/27,30385
605,590,4308083150450486259,Mastercard,10/26,40634
606,476,2496506624705268,American Express,12/25,43412
607,458,180097940858655,Visa,09/31,46236
608,928,36370670839401,American Express,01/33,11728
609,897,2701606705148619,Visa,11/30,31734
610,762,180043514313735,American Express,02/29,33664
611,409,5408821832930834,American Express,08/25,28567
612,916,5112411475051366,Mastercard,01/33,42126
613,16,501829834719,American Express,06/34,40212
614,495,30572535898060,American Express,11/33,39584
615,758,6567673680683733,Mastercard,04/25,43550
616,918,3517670069445880,Visa,12/32,19851
617,611,2279433300421685,American Express,03/31,8635
618,667,4857999185318911,American Express,11/30,17093
619,819,180088031084186,Mastercard,06/34,42824
620,472,340333555697279,Mastercard,07/33,22715
621,573,4561928062154021,American Express,07/31,8763
622,248,4720027283187676,American Express,07/32,27490
